city,temperature,humidity,date
New York,11.6,86.7,2024-01-01
London,26.8,49.8,2024-01-02
Tokyo,38.7,36.8,2024-01-03
Sydney,24.0,54.9,2024-01-04
New York,13.7,62.8,2024-01-05
London,14.8,68.7,2024-01-06
Tokyo,20.1,92.0,2024-01-07
Sydney,23.8,63.4,2024-01-08
New York,20.6,84.8,2024-01-09
London,25.0,53.1,2024-01-10
Tokyo,18.5,61.3,2024-01-11
Sydney,21.8,51.1,2024-01-12
New York,29.6,49.8,2024-01-13
London,9.4,56.0,2024-01-14
Tokyo,21.1,55.8,2024-01-15
Sydney,21.1,50.9,2024-01-16
New York,29.2,51.8,2024-01-17
London,17.7,76.5,2024-01-18
Tokyo,26.5,91.7,2024-01-19
Sydney,31.0,52.5,2024-01-20
New York,1.5,55.1,2024-01-21
London,31.7,67.9,2024-01-22
Tokyo,10.1,107.8,2024-01-23
Sydney,9.1,61.3,2024-01-24
New York,-8.8,74.6,2024-01-25
London,12.0,83.2,2024-01-26
Tokyo,20.0,65.2,2024-01-27
Sydney,16.2,73.9,2024-01-28
New York,15.4,69.1,2024-01-29
London,8.9,75.5,2024-01-30
Tokyo,28.7,44.5,2024-01-31
Sydney,29.6,63.1,2024-02-01
New York,24.2,67.2,2024-02-02
London,1.1,67.0,2024-02-03
Tokyo,42.7,77.1,2024-02-04
Sydney,21.5,66.7,2024-02-05
New York,25.4,42.8,2024-02-06
London,5.0,68.9,2024-02-07
Tokyo,19.9,46.8,2024-02-08
Sydney,24.1,49.5,2024-02-09
New York,18.6,53.7,2024-02-10
London,28.7,58.3,2024-02-11
Tokyo,33.0,36.8,2024-02-12
Sydney,6.6,76.8,2024-02-13
New York,28.5,42.7,2024-02-14
London,23.9,83.6,2024-02-15
Tokyo,20.0,43.1,2024-02-16
Sydney,4.3,79.2,2024-02-17
New York,34.8,59.6,2024-02-18
London,24.0,34.3,2024-02-19
Tokyo,2.2,44.4,2024-02-20
Sydney,17.6,79.9,2024-02-21
New York,23.3,66.7,2024-02-22
London,25.1,58.8,2024-02-23
Tokyo,18.7,26.7,2024-02-24
Sydney,23.4,80.8,2024-02-25
New York,41.2,88.1,2024-02-26
London,35.5,85.3,2024-02-27
Tokyo,10.5,50.8,2024-02-28
Sydney,14.0,65.7,2024-02-29
New York,18.9,67.4,2024-03-01
London,2.5,37.1,2024-03-02
Tokyo,6.6,62.7,2024-03-03
Sydney,3.8,76.1,2024-03-04
New York,8.5,71.5,2024-03-05
London,33.9,43.3,2024-03-06
Tokyo,11.4,47.1,2024-03-07
Sydney,9.7,71.9,2024-03-08
New York,28.8,69.5,2024-03-09
London,15.5,26.2,2024-03-10
Tokyo,24.2,23.2,2024-03-11
Sydney,12.7,58.9,2024-03-12
New York,2.0,51.2,2024-03-13
London,24.7,55.5,2024-03-14
Tokyo,4.5,53.8,2024-03-15
Sydney,14.9,74.8,2024-03-16
New York,12.7,61.6,2024-03-17
London,22.0,64.0,2024-03-18
Tokyo,14.4,39.9,2024-03-19
Sydney,18.7,9.5,2024-03-20
New York,4.4,76.9,2024-03-21
London,40.0,92.1,2024-03-22
Tokyo,8.0,54.9,2024-03-23
Sydney,32.0,63.7,2024-03-24
New York,21.5,64.9,2024-03-25
London,21.4,85.1,2024-03-26
Tokyo,23.5,73.3,2024-03-27
Sydney,1.2,67.4,2024-03-28
New York,29.7,60.8,2024-03-29
London,14.9,60.9,2024-03-30
Tokyo,32.1,38.4,2024-03-31
Sydney,18.5,54.2,2024-04-01
New York,16.3,73.3,2024-04-02
London,7.1,56.5,2024-04-03
Tokyo,12.3,60.7,2024-04-04
Sydney,24.2,42.4,2024-04-05
New York,6.9,66.7,2024-04-06
London,0.1,38.1,2024-04-07
Tokyo,11.4,64.3,2024-04-08
Sydney,28.4,57.2,2024-04-09
